Study.ID;BAT.R2;
1;0;
2;2;
3;2;
4;2;
5;0;
6;2;
7;2;
8;2;
9;0;
10;3;
11;0;
12;2;
13;0;
14;0;
15;1;
16;2;
17;3;
18;0;
19;3;
20;0;
21;1;
22;2;
23;0;
24;3;
25;3;
26;0;
27;2;
28;0;
29;3;
30;3;
31;1;
32;2;
33;0;
34;2;
35;2;
36;1;
37;2;
38;2;
39;3;
40;3;
41;0;
42;3;
43;2;
44;0;
45;2;
46;1;
47;3;
48;0;
49;3;
50;0;
51;1;
52;3;
53;3;
54;3;
55;3;
56;1;
57;2;
58;0;
59;3;
60;2;
61;2;
62;0;
63;0;
64;0;
65;0;
66;0;
67;2;
68;1;
69;3;
70;1;
71;2;
72;3;
73;3;
74;3;
75;1;
76;3;
77;3;
78;3;
79;0;
80;3;
81;2;
82;2;
83;0;
84;1;
85;1;
86;3;
87;2;
88;2;
89;2;
90;3;
91;2;
92;3;
93;0;
94;3;
95;3;
96;2;
97;0;
98;1;
99;0;
100;0;
101;3;
102;3;
103;3;
104;0;
105;3;
106;0;
107;0;
108;3;
109;2;
110;2;
111;0;
112;3;
113;0;
114;0;
115;3;
116;0;
117;3;
118;3;
119;3;
120;3;
121;3;
122;3;
123;0;
124;1;
125;3;
126;3;
127;3;
128;0;
129;0;
130;3;
131;2;
132;0;
133;0;
134;0;
135;2;
136;2;
137;3;
138;2;
139;0;
140;1;
141;0;
142;2;
143;3;
144;0;
145;3;
146;3;
147;3;
148;2;
149;0;
150;3;
151;0;
152;3;
153;0;
154;0;
155;3;
156;3;
157;1;
158;0;
159;2;
160;3;
161;0;
162;1;
163;2;
164;2;
165;3;
166;3;
167;3;
168;3;2924962
169;0;
170;2;
171;0;
172;2;
173;3;
174;2;
175;2;
176;2;
177;2;
178;0;
179;2;
180;0;
181;2;
182;0;
183;2;
184;3;
185;2;
186;3;
187;3;
188;0;
189;2;
190;2;
191;3;
192;3;
193;2;
194;3;
195;2;
196;2;
197;2;
198;3;
199;0;
200;3;
201;2;
202;2;
203;1;
204;0;
205;2;
206;0;
207;1;
208;0;
209;0;
210;2;
211;0;
212;1;
213;2;
214;1;
215;3;
216;1;
217;0;
218;0;
219;1;
220;0;
221;2;
222;0;
223;2;
224;0;
225;3;
226;2;
227;3;
228;2;
229;2;
230;2;
231;1;
232;1;
233;2;
234;0;
235;1;
236;3;
237;3;
238;1;
239;2;
240;3;
241;1;
242;3;
243;0;
244;3;
245;0;
246;1;
247;0;
248;1;
249;2;
250;3;
251;0;
252;2;
253;0;
254;1;
255;0;
256;0;
257;0;
258;1;
259;2;
260;1;
261;0;
262;1;
263;3;
264;2;
265;0;
266;3;
267;0;
268;0;
269;0;
270;0;
271;3;
272;3;
273;0;
274;1;
275;0;
276;2;
277;2;
278;2;
279;2;
280;1;
281;0;
282;0;
283;1;
284;2;
285;3;
286;1;
287;1;
288;3;
289;0;
290;2;
291;0;
292;0;
293;0;
294;1;
295;0;
296;0;
297;1;
298;1;10569430
299;1;
300;2;
301;2;
302;3;
303;1;
304;2;
305;2;
306;3;
307;3;
308;0;
309;3;
310;0;
311;2;
312;0;
313;0;
314;2;
315;2;
316;0;
317;3;
318;3;
319;2;
320;2;
321;0;
322;3;
323;0;
324;3;
325;1;
326;0;
327;1;
328;1;
329;2;
330;3;
331;2;
332;3;
333;2;
334;3;
335;0;
336;3;
337;0;
338;0;
339;3;
340;0;